Year,Aou,SpeciesTotal
1981,4160,735
1981,4171,362
1981,4172,1
1981,4180,63
1981,4190,2
1981,4200,3144
1981,4210,166
1981,4220,32
1981,4230,10743
1981,4240,75
1981,4250,263
1981,4280,451
1981,4290,83
1981,4300,58
1981,4310,187
1981,4320,149
1981,4330,107
1981,4340,96
1981,4360,21
1981,4402,81
1981,4410,2
1981,4430,2579
1981,4440,7207
1981,4450,9
1981,4451,1
1981,4461,6
1981,4470,4578
1981,4480,355
1981,4490,7
1981,4510,2
1981,4520,4778
1981,4530,153
1981,4540,1814
1981,4550,38
1981,4560,2555
1981,4570,463
1981,4580,254
1981,4590,648
1981,4600,4
1981,4610,4783
1981,4620,1932
1981,4630,40
1981,4640,101
1981,4641,799
1981,4642,2
1981,4650,1433
1981,4660,1206
1981,4661,537
1981,4670,1851
1981,4679,17
1981,4680,311
1981,4689,16
1981,4690,285
1981,4691,58
1981,4710,40
1981,4720,2
1981,4740,24541
1981,4750,1964
1981,4760,649
1981,4770,16325
1981,4780,1534
1981,4790,15
1981,4810,5
1981,4812,1905
1981,4813,118
1981,4820,157
1981,4830,6
1981,4840,56
1981,4860,2037
1981,4870,307
1981,4880,36599
1981,4890,75
1981,4900,1593
1981,4910,214
1981,4920,348
1981,4930,75997
1981,4940,5755
1981,4950,19754
1981,4960,139
1981,4970,3961
1981,4980,112540
1981,5000,515
1981,5010,26960
1981,5011,35183
1981,5012,64
1981,5030,3
1981,5031,1
1981,5032,1
1981,5040,187
1981,5050,25
1981,5060,2767
1981,5070,4907
1981,5077,27
1981,5080,1295
1981,5090,5
1981,5100,15288
1981,5110,73459
1981,5120,2589
1981,5130,1422
1981,5140,655
1981,5150,12
1981,5170,1298
1981,5180,458
1981,5190,7343
1981,5210,858
1981,5220,2
1981,5290,8914
1981,5300,1671
1981,5310,157
1981,5330,1872
1981,5380,1556
1981,5390,192
1981,5400,6339
1981,5420,5296
1981,5450,200
1981,5460,4242
1981,5470,86
1981,5480,51
1981,5491,1
1981,5500,53
1981,5520,3284
1981,5540,819
1981,5580,2303
1981,5600,12680
1981,5610,758
1981,5620,2514
1981,5630,8897
1981,5650,102
1981,5660,19
1981,5670,418
1981,5671,2119
1981,5690,97
1981,5700,10
1981,5730,1454
1981,5738,749
1981,5739,107
1981,5740,4
1981,5750,198
1981,5780,1716
1981,5800,126
1981,5810,21442
1981,5830,84
1981,5840,613
1981,5850,498
1981,5860,20
1981,5870,8818
1981,5880,2627
1981,5900,640
1981,5910,177
1981,5911,1195
1981,5920,18
1981,5930,23658
1981,5940,735
1981,5950,2726
1981,5960,1600
1981,5970,2812
1981,5980,20768
1981,5990,576
1981,6000,1
1981,6010,1244
1981,6040,9305
1981,6050,11046
1981,6070,1793
1981,6080,2787
1981,6090,23
1981,6100,2032
1981,6110,7026
1981,6120,27679
1981,6121,147
1981,6130,28582
1981,6140,4654
1981,6150,2317
1981,6160,2899
1981,6170,2834
1981,6190,4900
1981,6200,245
1981,6220,1704
1981,6230,15
1981,6240,13979
1981,6260,12
1981,6270,3159
1981,6280,839
1981,6290,383
1981,6291,349
1981,6292,85
1981,6300,3
1981,6310,2928
1981,6320,240
1981,6330,254
1981,6340,3
1981,6360,1327
1981,6370,450
1981,6380,23
1981,6390,157
1981,6410,392
1981,6412,1
1981,6420,122
1981,6430,213
1981,6440,100
1981,6450,1641
1981,6460,666
1981,6470,62
1981,6480,1018
1981,6500,50
1981,6510,2
1981,6520,6450
1981,6540,264
1981,6550,593
1981,6560,830
1981,6570,435
1981,6580,122
1981,6590,2578
1981,6600,34
1981,6610,4
1981,6620,440
1981,6630,326
1981,6640,38
1981,6650,535
1981,6660,1
1981,6670,771
1981,6680,141
1981,6690,436
1981,6710,1784
1981,6720,3
1981,6730,1211
1981,6740,5961
1981,6750,138
1981,6760,252
1981,6770,859
1981,6780,31
1981,6790,667
1981,6800,476
1981,6810,16401
1981,6830,4930
1981,6840,653
1981,6850,632
1981,6860,281
1981,6870,1967
1981,6880,9
1981,6882,98721
1981,6883,37
1981,6900,26
1981,6970,2
1981,7000,72
1981,7010,20
1981,7020,1731
1981,7030,19166
1981,7040,7668
1981,7050,5083
1981,7060,3
1981,7070,148
1981,7080,25
1981,7100,162
1981,7110,57
1981,7120,18
1981,7130,636
1981,7150,701
1981,7170,123
1981,7180,4482
1981,7190,1675
1981,7210,7326
1981,7221,326
1981,7222,244
1981,7240,543
1981,7250,459
1981,7260,321
1981,7270,2396
1981,7280,958
1981,7290,376
1981,7300,405
1981,7310,6633
1981,7320,211
1981,7330,1058
1981,7331,29
1981,7332,1
1981,7340,37
1981,7350,4495
1981,7360,4279
1981,7380,1402
1981,7400,9
1981,7410,570
1981,7420,1058
1981,7430,1131
1981,7460,172
1981,7480,469
1981,7490,309
1981,7510,1971
1981,7520,41
1981,7540,110
1981,7550,8751
1981,7560,3575
1981,7580,1746
1981,7590,1372
1981,7610,47347
1981,7630,259
1981,7660,2958
1981,7670,677
1981,7680,637
1982,12,651
1982,20,9
1982,30,5
1982,40,1015
1982,60,155
1982,70,106
1982,100,1
1982,110,1
1982,230,2
1982,290,6
1982,300,690
1982,380,1
1982,400,46
1982,440,770
1982,470,36
1982,480,1
1982,490,260
1982,510,1079
1982,530,1111
1982,534,17
1982,540,2924
1982,550,160
1982,570,10
1982,580,1589
1982,590,1087
1982,600,10
1982,630,18
1982,634,2
1982,640,50
1982,650,38
1982,690,141
1982,700,18
1982,710,18
1982,720,5
1982,740,137
1982,770,521
1982,800,7
1982,1180,37
1982,1200,677
1982,1210,29
1982,1220,375
1982,1230,103
1982,1250,537
1982,1260,124
1982,1280,1
1982,1290,129
1982,1300,13
1982,1310,10
1982,1320,4189
1982,1330,72
1982,1340,72
1982,1350,559
1982,1370,228
1982,1390,110
1982,1400,801
1982,1410,463
1982,1420,439
1982,1430,695
1982,1440,481
1982,1460,334
1982,1470,293
1982,1489,7
1982,1490,192
1982,1500,5
1982,1510,1
1982,1520,20
1982,1530,8
1982,1550,2
1982,1590,12
1982,1670,406
1982,1720,1244
1982,1770,205
1982,1780,34
1982,1782,34
1982,1810,5
1982,1830,10
1982,1840,632
1982,1860,4
1982,1870,342
1982,1880,24
1982,1900,191
1982,1910,13
1982,1940,1422
1982,1960,709
1982,1970,291
1982,1990,41
1982,2000,779
1982,2001,8350
1982,2010,1176
1982,2020,277
1982,2030,62
1982,2060,396
1982,2070,1
1982,2080,27
1982,2110,18
1982,2111,1
1982,2120,15
1982,2140,165
1982,2150,2
1982,2180,10
1982,2190,92
1982,2210,1457
1982,2230,15
1982,2240,315
1982,2250,375
1982,2260,494
1982,2280,35
1982,2300,1321
1982,2320,2
1982,2420,7
1982,2470,19
1982,2490,151
1982,2540,12
1982,2550,34
1982,2560,2
1982,2580,384
1982,2610,1099
1982,2630,302
1982,2640,448
1982,2650,4
1982,2720,11
1982,2730,8962
1982,2740,11
1982,2780,15
1982,2800,7
1982,2810,24
1982,2860,1
1982,2870,4
1982,2881,209
1982,2882,105
1982,2890,22498
1982,2920,562
1982,2930,524
1982,2940,1516
1982,2950,261
1982,2960,3
1982,2970,2
1982,2971,9
1982,3000,95
1982,3010,7
1982,3020,2
1982,3050,31
1982,3070,8
1982,3080,94
1982,3090,76
1982,3091,9027
1982,3100,118
1982,3120,488
1982,3131,13401
1982,3140,24
1982,3151,45
1982,3160,53843
1982,3180,8
1982,3190,382
1982,3200,259
1982,3210,56
1982,3250,3107
1982,3260,417
1982,3270,3
1982,3280,45
1982,3290,98
1982,3300,2
1982,3310,405
1982,3320,29
1982,3330,49
1982,3333,1
1982,3340,12
1982,3350,61
1982,3370,1404
1982,3390,357
1982,3410,3
1982,3420,390
1982,3430,137
1982,3451,6
1982,3460,1
1982,3480,54
1982,3490,84
1982,3520,13
1982,3550,27
1982,3570,9
1982,3600,1403
1982,3620,35
1982,3640,117
1982,3650,11
1982,3660,1
1982,3670,49
1982,3680,130
1982,3690,1
1982,3720,1
1982,3730,32
1982,3732,8
1982,3750,330
1982,3770,2
1982,3780,262
1982,3790,17
1982,3830,7
1982,3840,20
1982,3850,110
1982,3870,5425
1982,3880,566
1982,3890,2
1982,3900,575
1982,3920,1
1982,3930,708
1982,3940,2648
1982,3950,9
1982,3960,129
1982,3970,165
1982,3975,13
1982,3990,54
1982,4000,10
1982,4010,5
1982,4020,360
1982,4021,51
1982,4030,53
1982,4040,17
1982,4050,1039
1982,4060,3102
1982,4070,969
1982,4080,29
1982,4090,4375
1982,4100,364
1982,4110,27
1982,4120,4002
1982,4123,4
1982,4130,946
1982,4140,12
1982,4160,673
1982,4171,382
1982,4172,1
1982,4180,69
1982,4190,3
1982,4200,2530
1982,4210,141
1982,4220,3
1982,4230,10929
1982,4240,124
1982,4250,289
1982,4270,1
1982,4280,392
1982,4290,41
1982,4300,46
1982,4310,163
1982,4320,170
1982,4330,95
1982,4340,85
1982,4360,25
1982,4402,28
1982,4430,2252
1982,4440,7414
1982,4450,16
1982,4451,1
1982,4461,6
1982,4470,4367
1982,4480,297
1982,4490,7
1982,4510,3
1982,4520,4606
1982,4530,158
1982,4540,1357
1982,4550,50
1982,4560,2082
1982,4570,475
1982,4580,158
1982,4590,720
1982,4600,1
1982,4610,4818
1982,4620,1712
1982,4630,25
1982,4640,121
1982,4641,807
1982,4642,10
1982,4650,1352
1982,4660,1222
1982,4661,900
1982,4670,1727
1982,4679,93
1982,4680,345
1982,4690,318
1982,4691,49
1982,4710,38
1982,4720,3
1982,4740,24383
1982,4750,1730
1982,4760,553
1982,4770,15019
1982,4780,1230
1982,4790,21
1982,4810,5
1982,4812,1348
1982,4813,106
1982,4820,138
1982,4830,6
1982,4840,78
1982,4860,1832
1982,4870,240
1982,4880,37909
1982,4890,9
1982,4900,1572
1982,4910,180
1982,4920,498
1982,4930,73230
1982,4940,5368
1982,4950,19179
1982,4960,259
1982,4970,4744
1982,4980,115699
1982,5000,3292
1982,5010,26050
1982,5011,37497
1982,5012,113
1982,5030,12
1982,5031,1
1982,5040,157
1982,5050,21
1982,5060,2768
1982,5070,4831
1982,5077,9
1982,5080,1177
1982,5090,4
1982,5100,15563
1982,5110,76364
1982,5120,2392
1982,5130,1047
1982,5140,691
1982,5150,7
1982,5170,1019
1982,5180,506
1982,5190,5951
1982,5210,549
1982,5220,18
1982,5280,235
1982,5290,9543
1982,5300,881
1982,5310,96
1982,5330,1370
1982,5360,19
1982,5380,1086
1982,5390,96
1982,5400,6167
1982,5420,5438
1982,5450,187
1982,5460,3765
1982,5470,54
1982,5480,15
1982,5491,3
1982,5500,22
1982,5520,3198
1982,5540,1137
1982,5570,68
1982,5580,2012
1982,5590,180
1982,5600,12162
1982,5610,604
1982,5620,2917
1982,5630,8486
1982,5650,59
1982,5660,49
1982,5670,746
1982,5671,1669
1982,5690,147
1982,5700,11
1982,5730,1419
1982,5738,724
1982,5739,98
1982,5740,91
1982,5750,149
1982,5760,3
1982,5780,2563
1982,5800,137
1982,5810,19441
1982,5830,186
1982,5840,537
1982,5850,693
1982,5860,41
1982,5870,8663
1982,5880,2183
1982,5900,984
1982,5910,242
1982,5911,993
1982,5920,17
1982,5930,23606
1982,5940,610
1982,5950,2736
1982,5960,1575
1982,5970,2594
1982,5980,20452
1982,5990,541
1982,6000,2
1982,6010,1089
1982,6040,9411
1982,6050,9100
1982,6070,1556
1982,6080,2620
1982,6090,11
1982,6100,1829
1982,6110,5688
1982,6120,24993
1982,6121,247
1982,6130,30383
1982,6140,5388
1982,6150,2090
1982,6160,3431
1982,6170,3194
1982,6180,21
1982,6190,4571
1982,6200,116
1982,6210,2
1982,6220,1667
1982,6230,21
1982,6240,12993
1982,6260,7
1982,6270,3471
1982,6280,847
1982,6290,368
1982,6291,373
1982,6292,110
1982,6300,4
1982,6310,2807
1982,6320,147
1982,6330,252
1982,6340,3
1982,6360,1082
1982,6370,424
1982,6380,27
1982,6390,154
1982,6410,322
1982,6420,104
1982,6430,226
1982,6440,108
1982,6450,1367
1982,6460,882
1982,6470,39
1982,6480,924
1982,6500,31
1982,6510,1
1982,6520,6133
1982,6540,195
1982,6550,927
1982,6556,2
1982,6560,1108
1982,6570,352
1982,6580,106
1982,6590,2080
1982,6600,19
1982,6610,159
1982,6620,350
1982,6630,271
1982,6640,42
1982,6650,538
1982,6660,1
1982,6670,527
1982,6680,235
1982,6690,327
1982,6710,1867
1982,6720,2
1982,6730,1136
1982,6740,5421
1982,6750,230
1982,6760,217
1982,6770,731
1982,6780,16
1982,6790,527
1982,6800,502
1982,6810,16507
1982,6830,4511
1982,6840,639
1982,6850,841
1982,6860,270
1982,6870,1984
1982,6880,17
1982,6882,92217
1982,6883,22
1982,6900,33
1982,6970,20
1982,7000,69
1982,7010,25
1982,7020,1625
1982,7030,18050
1982,7031,1
1982,7040,7730
1982,7050,5249
1982,7060,6
1982,7070,99
1982,7080,15
1982,7100,169
1982,7110,13
1982,7120,26
1982,7130,456
1982,7150,846
1982,7170,61
1982,7180,5127
1982,7190,1507
1982,7210,7530
1982,7221,324
1982,7222,246
1982,7240,490
1982,7250,331
1982,7260,205
1982,7270,1922
1982,7280,752
1982,7290,361
1982,7300,222
1982,7310,6005
1982,7320,287
1982,7330,632
1982,7331,37
1982,7332,1
1982,7340,51
1982,7350,3779
1982,7360,3985
1982,7370,1
1982,7380,1070
1982,7400,13
1982,7410,364
1982,7420,719
1982,7430,548
1982,7460,129
1982,7470,83
1982,7480,295
1982,7490,622
1982,7510,1926
1982,7520,26
1982,7540,96
1982,7550,8574
1982,7560,3223
1982,7570,179
1982,7580,1979
1982,7590,1384
1982,7610,48355
1982,7630,483
1982,7650,1
1982,7660,3443
1982,7670,404
1982,7680,474
1983,12,431
1983,20,12
1983,30,5
1983,40,741
1983,60,181
1983,70,140
1983,100,3
1983,110,1
1983,120,24
1983,140,2
1983,150,13
1983,210,14
1983,230,6
1983,290,9
1983,300,87
1983,370,1
1983,380,7
1983,400,25
1983,440,354
1983,470,48
1983,490,177
1983,510,1486
1983,530,988
1983,534,51
1983,540,2926
1983,550,245
1983,570,3
1983,580,5269
1983,590,1615
1983,600,3
1983,630,15
1983,634,16
1983,640,53
1983,650,12
1983,690,161
1983,700,93
1983,710,38
1983,730,9
1983,740,104
1983,770,374
1983,800,48
1983,1180,49
1983,1200,543
1983,1220,73
1983,1230,55
1983,1250,679
1983,1260,46
1983,1280,7
1983,1290,91
1983,1300,27
1983,1310,16
1983,1320,3670
1983,1330,93
1983,1340,58
1983,1350,532
1983,1370,184
1983,1390,69
1983,1400,773
1983,1410,243
1983,1420,334
1983,1430,618
1983,1440,523
1983,1460,260
1983,1470,74
1983,1480,23
1983,1489,3
1983,1490,143
1983,1500,5
1983,1510,3
1983,1520,9
1983,1530,4
1983,1540,5
1983,1550,12
1983,1590,1
1983,1650,15
1983,1670,271
1983,1720,2252
1983,1770,169
1983,1780,74
1983,1782,54
1983,1810,23
1983,1830,6
1983,1840,616
1983,1860,37
1983,1870,266
1983,1880,92
1983,1900,228
1983,1910,12
1983,1940,1517
1983,1960,628
1983,1970,125
1983,1980,1
1983,1990,31
1983,2000,526
1983,2001,5713
1983,2010,1161
1983,2020,322
1983,2030,57
1983,2060,351
1983,2070,4
1983,2080,11
1983,2110,43
1983,2120,23
1983,2140,197
1983,2180,8
1983,2190,124
1983,2210,1307
1983,2230,10
1983,2240,286
1983,2250,361
1983,2260,312
1983,2280,28
1983,2300,1331
1983,2310,3
1983,2350,2
1983,2420,4
1983,2490,100
1983,2540,29
1983,2550,58
1983,2560,3
1983,2580,372
1983,2610,1096
1983,2630,265
1983,2640,321
1983,2650,14
1983,2720,9
1983,2730,9757
1983,2740,9
1983,2780,4
1983,2810,31
1983,2860,6
1983,2870,12
1983,2881,191
1983,2882,29
1983,2890,23139
1983,2920,616
1983,2930,412
1983,2940,1340
1983,2950,403
1983,2960,4
1983,2970,1
1983,2971,11
1983,3000,93
1983,3010,6
1983,3020,24
1983,3050,59
1983,3070,23
1983,3080,81
1983,3090,102
1983,3091,10009
1983,3095,16
1983,3100,193
1983,3120,462
1983,3131,12816
1983,3140,113
1983,3151,34
1983,3152,3
1983,3160,49869
1983,3180,5
1983,3190,807
1983,3200,237
1983,3210,70
1983,3250,2771
1983,3260,528
1983,3270,8
1983,3280,59
